objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
55,E06000056,Central Bedfordshire,Central Bedfordshire,504615,234492,-0.47753999,51.99903107,716309105,213741.9059,252120,104399,27030,37399,17957,15702,37399,2.4
56,E06000048,Northumberland,Northumberland,395323,600699,-2.07521009,55.30036926,5026632469,503166.1845,310591,138534,41406,53502,20775,16422,53502,2.2
57,E07000004,Aylesbury Vale,Aylesbury Vale,477330,223021,-0.87746,51.90037918,903260608.3,217172.821,170651,69406,17612,25130,11111,10545,25130,2.5
58,E07000005,Chiltern,Chiltern,495432,198692,-0.62111998,51.67890167,197060319.7,79081.78879,91871,36946,9179,13075,5858,6131,13075,2.5
59,E07000006,South Bucks,South Bucks,498198,185455,-0.58484,51.55944061,141009970.1,77130.91551,65819,26514,7136,8966,4176,4038,8966,2.5
60,E07000007,Wycombe,Wycombe,482477,197052,-0.80883002,51.66619873,324642970,103574.8214,168958,67861,18138,23308,10326,10273,23308,2.5
61,E07000008,Cambridge,Cambridge,545420,257901,0.126436,52.20016861,41281108.19,32837.28646,107345,46714,15848,14791,7161,5721,14791,2.3
62,E07000009,East Cambridgeshire,East Cambridgeshire,555577,275765,0.28316301,52.35787964,652457150.3,178227.1979,83056,34614,8893,12958,5577,5103,12958,2.4
63,E07000010,Fenland,Fenland,536361,294959,0.009016,52.53543854,546598396.2,146795.2145,93934,40620,11576,15575,6137,4907,15575,2.3
64,E07000011,Huntingdonshire,Huntingdonshire,521010,274271,-0.22466999,52.35316849,913413122.6,204825.7531,166952,69333,17691,26076,11000,10238,26076,2.4
65,E07000012,South Cambridgeshire,South Cambridgeshire,543295,247586,0.091017,52.1080513,902298895,236178.9397,146779,59960,14772,22332,9351,9555,22332,2.4
66,E07000026,Allerdale,Allerdale,317516,532995,-3.28096008,54.68523026,1256089925,254588.5823,94970,42345,13169,15710,6196,5199,15710,2.2
67,E07000027,Barrow-in-Furness,Barrow-in-Furness,321750,474171,-3.19975996,54.15737152,76987524.26,96658.49469,68392,31224,10791,10657,4744,3611,10657,2.2
68,E07000028,Carlisle,Carlisle,348444,565195,-2.80704999,54.97867966,1038322611,226838.9516,106138,48342,16423,17028,6939,5709,17028,2.2
69,E07000029,Copeland,Copeland,310871,508741,-3.37664008,54.46619034,738107037.6,183844.4864,69312,30536,9308,11198,4640,3768,11198,2.3
70,E07000030,Eden,Eden,359636,526396,-2.62678003,54.63106918,2158044677,247832.9478,51613,23043,6958,9028,3122,2806,9028,2.2
71,E07000031,South Lakeland,South Lakeland,349265,489554,-2.78108001,54.29906845,1552797428,318331.4939,100514,46552,15091,18509,5964,5028,18509,2.2
72,E07000032,Amber Valley,Amber Valley,436166,348084,-1.46219003,53.02883911,265296237.2,92060.3175,121167,52596,14658,20280,8233,6802,20280,2.3
73,E07000033,Bolsover,Bolsover,448666,371548,-1.27227998,53.23875046,160658252.2,85387.32473,75251,32801,9521,12197,5337,4021,12197,2.3
74,E07000034,Chesterfield,Chesterfield,440049,373359,-1.40114999,53.25574875,65928286.45,45533.23161,102681,46796,15412,16996,7097,5203,16996,2.2
75,E07000035,Derbyshire Dales,Derbyshire Dales,419697,358493,-1.70711005,53.1232605,796585209.1,214807.8207,69562,30744,8899,12289,4173,3810,12289,2.3
76,E07000036,Erewash,Erewash,443721,338063,-1.35090005,52.9382019,109041412.9,63722.72309,110939,48692,14164,18141,8038,6139,18141,2.3
77,E07000037,High Peak,High Peak,410474,387660,-1.84397995,53.38568878,538585702.2,145819.8915,89867,38946,11362,14259,6043,5215,14259,2.3
78,E07000038,North East Derbyshire,North East Derbyshire,437369,362955,-1.44253004,53.16242981,275890607.4,138446.4489,98240,43070,12158,16643,6799,5570,16643,2.3
79,E07000039,South Derbyshire,South Derbyshire,431434,325365,-1.53494,52.82492065,337613291.7,142646.1513,93133,38992,10059,14598,6486,5587,14598,2.4
80,E07000040,East Devon,East Devon,313775,96055,-3.22380996,50.75764847,814577378.7,178649.1453,129528,59071,18269,24150,7479,6318,24150,2.2
81,E07000041,Exeter,Exeter,293236,92003,-3.51372004,50.71780014,47187408.15,36387.39573,111808,49242,16555,16572,7042,5922,16572,2.3
82,E07000042,Mid Devon,Mid Devon,288064,108911,-3.59211993,50.86882019,911669760.7,218022.5554,76866,32758,8995,12585,4895,4212,12585,2.3
83,E07000043,North Devon,North Devon,265110,132524,-3.92690992,51.07612991,1086836338,236533.418,91592,40001,11846,15343,5620,4746,15343,2.3
84,E07000044,South Hams,South Hams,270677,54033,-3.81994009,50.37192154,885119454.7,350139.1736,81805,36858,11242,14754,4887,4147,14754,2.2
85,E07000045,Teignbridge,Teignbridge,283069,80251,-3.65395999,50.61019897,673975192.5,154697.7709,121337,54003,16222,21121,7600,6300,21121,2.2
86,E07000046,Torridge,Torridge,244206,114405,-4.21730995,50.90802002,985383270.2,244327.3208,62887,27986,8402,11156,3746,3119,11156,2.2
87,E07000047,West Devon,West Devon,256379,86998,-4.03356981,50.66487885,1161329154,215746.2927,51914,22725,6414,9260,3044,2709,9260,2.3
