objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
363,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17604995,53.21498108,438206131,158252.0119,151679,63781,17477,23014,10427,8845,23014,2.4
364,W06000006,Wrexham,Wrecsam,333523,345387,-2.99202991,53.00167084,503283824.5,167134.552,133244,57029,16817,19782,9421,7708,19782,2.3
365,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94993997,52.29795074,1791285156,291443.1693,71444,31562,10456,11257,4267,3413,11257,2.3
366,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818024,51.85512161,1616657452,494141.0993,120545,53122,16392,19972,7352,6153,19972,2.3
367,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.89495087,2370190259,399489.4214,181227,78829,23770,28636,12131,9558,28636,2.3
368,W06000011,Swansea,Abertawe,264022,197308,-3.96723008,51.65805817,378211938.9,168349.2285,234363,103497,34485,34757,15533,12524,34757,2.3
369,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638009,51.64450073,443297606.2,139930.5118,138682,60393,18259,20910,10326,7835,20910,2.3
370,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.56058121,250512008.9,81067.08399,136842,58515,16472,20919,10151,7791,20919,2.3
371,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803004,51.44837952,332205301.3,94614.58196,124259,53505,15851,18868,8654,6988,18868,2.3
372,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212005,51.50254059,141913733.9,63217.74015,334551,142557,47141,45206,21363,17882,45206,2.3
373,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41358995,51.62184906,422982111.1,117003.803,231885,99663,29875,33674,17205,13365,33674,2.3
374,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753003,51.65000916,278104395.8,103287.1443,177755,74479,20196,26235,13195,10278,26235,2.4
375,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75363922,109017968.1,60985.94773,69239,30416,9608,10185,5364,3716,10185,2.3
376,W06000020,Torfaen,Torfaen,327459,200480,-3.05100989,51.69836044,126051123.4,72835.06154,90360,38524,11163,13408,6547,5156,13408,2.3
377,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90280008,51.77827072,849445363.4,195705.2554,89694,38233,10592,14388,5862,5084,14388,2.3
378,W06000022,Newport,Casnewydd,337897,187433,-2.89769006,51.58232117,190782779.3,119594.2488,144103,61172,18849,20359,9596,8065,20359,2.4
379,W06000023,Powys,Powys,302328,273254,-3.43532991,52.348629,5195778993,535164.7863,131047,58345,18359,22160,7770,6562,22160,2.2
380,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36424994,51.74858093,112187962.6,61276.32821,58334,24264,6559,8321,4454,3441,8321,2.4
